Timestamp,Are you eating food past their expiration dates more or less often since pandemic?,What do you think are the main reasons that food get wasted in your household?(select all that apply),Select the option which best reflects what is happening in your household since the start of pandemic?,What are you doing differently since start of pandemic? (select all apply),Ward
2021/06/09 11:15:11 PM CDT,About the same,Food left in the fridge or freezer too long,"We are wasting less food, in amount and overall percentage",I am eating leftovers more often;I look in my fridge and pantries more often,Ward 7
2021/06/10 6:20:00 AM CDT,I never eat food past their expiration dates,We do not waste any food in our household,,I have not change anything,Ward 6
2021/06/10 8:24:56 AM CDT,I never eat food past their expiration dates,Food left in the fridge or freezer too long;Some household members do not finish their meals;Food goes bad before 'best before' date;We like to eat food freshest food possible,We are wasting less food in amount but not overall percentage,I am eating leftovers more often;I look in my fridge and pantries more often;I am planning meals before shopping;I am using more produce;I have not change anything,Ward 13
2021/06/10 8:27:46 AM CDT,More often,We cook too much,"We are wasting less food, in amount and overall percentage",I look in my fridge and pantries more often;I am using more produce,
2021/06/10 9:57:05 AM CDT,I never eat food past their expiration dates,Food left in the fridge or freezer too long;Some household members do not finish their meals;Food goes bad before 'best before' date,We are wasting less food in amount but not overall percentage,I am eating leftovers more often;I look in my fridge and pantries more often,Ward 7
2021/06/10 10:05:39 AM CDT,About the same,Food left in the fridge or freezer too long,"We are wasting less food, in amount and overall percentage",I am using more produce,Ward 9
2021/06/10 10:23:11 AM CDT,About the same,Food left in the fridge or freezer too long;Some household members do not finish their meals;Food plans changes more often;We don't check freezer/fridge before shopping,We are wasting more food in amount,I am using more produce,
2021/06/10 11:20:50 AM CDT,More often,Food left in the fridge or freezer too long,"We are wasting less food, in amount and overall percentage",I have not change anything,Ward 8
2021/06/10 11:32:34 AM CDT,About the same,Food left in the fridge or freezer too long;Some household members do not finish their meals;We cook too much,"We are wasting less food, in amount and overall percentage",I am eating leftovers more often;I look in my fridge and pantries more often;I am using more produce,Ward 4
2021/06/10 6:54:12 PM CDT,About the same,Food left in the fridge or freezer too long;Food goes bad before 'best before' date,"We are wasting less food, in amount and overall percentage",I have not change anything,Ward 5
2021/06/10 8:22:55 PM CDT,More often,Food left in the fridge or freezer too long,"We are wasting less food, in amount and overall percentage",I am eating leftovers more often;I am planning meals before shopping;I am using more produce,Ward 11
2021/06/11 7:19:09 AM CDT,I never eat food past their expiration dates,Some household members do not finish their meals;Food goes bad before 'best before' date,"We are wasting less food, in amount and overall percentage",I am planning meals before shopping,Ward 12
2021/06/11 12:46:02 PM CDT,About the same,Food left in the fridge or freezer too long;Food goes bad before 'best before' date;We don't check freezer/fridge before shopping,None of above,I am planning meals before shopping,Ward 7
2021/06/11 7:56:47 PM CDT,About the same,Food left in the fridge or freezer too long;Some household members do not finish their meals,"We are wasting less food, in amount and overall percentage",I am eating leftovers more often;I look in my fridge and pantries more often,Ward 2
